Month,Day,Facility,Supplier,Supplier_Type,Weight_lbs,Volume_cuft,Trucks_Needed,Weight_Utilization_Pct,Volume_Utilization_Pct,Binding_Constraint,Num_SKUs,SKUs_Delivered
1,16,Austin,VoltEdge,International,87200,13952,4,48.44444444,96.88888889,volume,1,SKUE3
1,17,Columbus,The Write Stuff,International,48836.90476,975.2865961,2,54.26322751,13.54564717,weight,2,"SKUW1,SKUW2"
1,17,Columbus,Canvas & Co.,Domestic,8803.428571,297.183642,1,19.5631746,8.255101166,weight,1,SKUA2
1,17,Columbus,Bound to Learn,Domestic,1005239.286,48307.87202,23,97.12456867,58.34284061,weight,2,"SKUT2,SKUT4"
1,17,Columbus,Form & Function,Domestic,487740.4762,212172.1905,59,18.3706394,99.89274505,volume,2,"SKUD2,SKUC2"
1,17,Sacramento,Canvas & Co.,Domestic,19834.7619,419.9101356,1,44.07724868,11.66417043,weight,2,"SKUA1,SKUA3"
1,17,Austin,The Write Stuff,International,32304.7619,598.2363316,1,71.78835979,16.61767588,weight,1,SKUW3
1,17,Austin,Bound to Learn,Domestic,555560.7143,26411.44345,13,94.96764347,56.43470823,weight,2,"SKUT1,SKUT3"
1,17,Austin,Form & Function,Domestic,269156.4286,177658.2169,50,11.96250794,98.69900941,volume,3,"SKUD1,SKUD3,SKUC1"
1,17,Austin,VoltEdge,International,1087124.762,132338.2853,37,65.29277849,99.35306702,volume,3,"SKUE1,SKUE2,SKUE3"
1,18,Columbus,Canvas & Co.,Domestic,19834.7619,419.9101356,1,44.07724868,11.66417043,weight,2,"SKUA1,SKUA3"
1,18,Columbus,Form & Function,Domestic,527507.619,176103.4074,49,23.92324803,99.83186361,volume,2,"SKUC1,SKUC2"
1,18,Columbus,VoltEdge,International,1087124.762,132338.2853,37,65.29277849,99.35306702,volume,3,"SKUE1,SKUE2,SKUE3"
1,18,Sacramento,The Write Stuff,International,32304.7619,598.2363316,1,71.78835979,16.61767588,weight,1,SKUW3
1,18,Sacramento,Canvas & Co.,Domestic,8803.428571,297.183642,1,19.5631746,8.255101166,weight,1,SKUA2
1,18,Sacramento,Bound to Learn,Domestic,1005239.286,48307.87202,23,97.12456867,58.34284061,weight,2,"SKUT2,SKUT4"
